洲別,國別,學位生-正式修讀學位外國生,學位生-僑生(含港澳),學位生-正式修讀學位陸生,非學位生-外國交換生,非學位生-外國短期研習及個人選讀,非學位生-大專附設華語文中心學生,非學位生-大陸研修生,非學位生-海青班,境外專班
亞洲,中國大陸,0,0,5881,0,0,377,27030,0,0
亞洲,馬來西亞,3671,6254,0,35,839,85,0,2402,99
亞洲,香港,0,5814,0,193,220,59,0,0,0
亞洲,日本,698,177,0,494,1423,3024,0,0,0
亞洲,澳門,0,4693,0,10,3,17,0,0,0
亞洲,越南,2450,291,0,11,41,922,0,0,290
亞洲,南韓,511,186,0,708,248,1933,0,1,0
亞洲,印尼,1374,971,0,35,134,976,0,69,0
亞洲,泰國,548,268,0,108,150,461,0,0,0
亞洲,印度,646,3,0,26,85,97,0,0,0
亞洲,蒙古,571,0,0,21,3,210,0,0,0
亞洲,新加坡,100,99,0,107,340,32,0,0,10
亞洲,菲律賓,138,33,0,18,85,292,0,0,0
亞洲,緬甸,5,407,0,1,2,42,0,31,0
亞洲,俄羅斯,155,1,0,32,13,192,0,0,0
亞洲,土耳其,45,0,0,9,2,69,0,0,0
亞洲,伊朗,44,0,0,0,2,8,0,0,0
亞洲,尼泊爾,29,0,0,0,8,16,0,0,0
亞洲,約旦,30,3,0,0,0,6,0,0,0
亞洲,以色列,13,0,0,0,5,19,0,0,0
亞洲,巴基斯坦,19,2,0,0,2,0,0,0,0
亞洲,汶萊,4,12,0,0,2,2,0,3,0
亞洲,伊拉克,15,0,0,0,1,3,0,0,0
亞洲,哈薩克,7,0,0,0,5,7,0,0,0
亞洲,孟加拉,12,1,0,0,0,3,0,0,0
亞洲,斯里蘭卡,14,1,0,0,0,1,0,0,0
亞洲,不丹,1,0,0,0,0,11,0,0,0
亞洲,塔吉克,5,0,0,0,0,6,0,0,0
亞洲,烏茲別克,2,0,0,0,0,7,0,0,0
亞洲,沙烏地阿拉伯,2,2,0,0,0,2,0,0,0
亞洲,寮國,1,3,0,0,0,1,0,0,0
亞洲,柬埔寨,1,1,0,0,1,1,0,0,0
亞洲,葉門,0,3,0,0,1,0,0,0,0
亞洲,吉爾吉斯,4,0,0,0,0,0,0,0,0
亞洲,亞美尼亞,1,0,0,0,0,3,0,0,0
亞洲,黎巴嫩,1,1,0,0,0,1,0,0,0
亞洲,巴林,0,1,0,0,0,1,0,0,0
亞洲,科威特,0,1,0,0,0,1,0,0,0
亞洲,阿拉伯聯合大公國,0,1,0,0,1,0,0,0,0
亞洲,土庫曼,2,0,0,0,0,0,0,0,0
亞洲,阿曼,0,0,0,0,0,1,0,0,0
亞洲,敘利亞,1,0,0,0,0,0,0,0,0
亞洲,喬治亞,1,0,0,0,0,0,0,0,0
亞洲,亞塞拜然,1,0,0,0,0,0,0,0,0
大洋洲,澳大利亞,19,16,0,34,48,254,0,0,0
大洋洲,紐西蘭,9,25,0,1,5,42,0,0,0
